,N2,N3,N4,E1,E3,E4,E5
1.3.1.98,1.551,9.852,4.392,0.038,0.094,0.13,0.228
5.1.3.23,3.015,1.93,3.804,0,0,0,0
2.3.1.16,0.172,0.017,0.408,0,0,0,0
2.1.2.2,0.201,0.399,0.362,0,0,0,0
2.1.1.74,0.402,0.499,21.034,0,0,0,0.021
2.7.4.6,1.264,0.1,18.0,0,0,0,0.021
2.7.7.65,0.747,0.3,11.094,0.038,0.019,0,0.062
2.3.1.180,6.117,0.349,4.121,0,0,0,0
4.3.1.1,8.931,0.732,8.083,0.058,0.019,0,0
4.3.3.6,19.557,0.25,128.513,0.077,0,0,0.083
1.4.1.3,3.877,0.033,1.608,0,0,0,0
1.4.1.2,4.882,0.1,30.906,0,0,0,0
2.7.7.75,0.948,0.2,0.068,0,0,0,0
2.3.1.39,6.691,0.216,0.883,0.019,0.189,0,0
2.7.7.80,4.652,55.897,0.158,0,0,0,0
4.1.1.20,0.23,0.033,0.249,0,0,0,0
6.2.1.3,0.115,0.166,1.087,0,0,0.065,0
2.3.1.89,4.968,0.033,3.532,0,0,0,0
2.4.2.14,5.629,9.818,25.223,0,0.623,0,0.207
2.4.2.19,0.23,0.233,9.917,0,0,0,0
1.2.4.4,17.116,0.133,0.34,0,0,0,0
2.3.1.54,34.231,7.322,16.257,0,0,6.218,0
1.3.1.1,0.258,0.3,3.917,0,0,0,0
2.1.2.1,79.978,7.538,768.064,0.5,0.094,0,0.207
5.2.1.8,4.02,8.803,13.721,0,2.435,0,0.269
3.6.4.13,69.439,27.158,66.068,0.096,6.89,0.162,3.087
2.7.7.56,27.655,534.644,8.536,0.019,0,0,0.021
2.7.7.33,0.747,0.25,1.268,0,0,0,0
2.5.1.7,87.129,175.597,286.957,0.289,0.019,0,0.704
3.6.3.40,0.373,0.05,0.204,0,0,0,0
2.7.7.7,36.902,29.172,59.32,0.423,23.708,0.194,0.476
1.8.1.9,42.042,1.331,9.781,0.058,0.698,0,0.974
2.1.3.9,0.115,0.017,0.091,0,0,0,0
2.7.7.6,147.12,2112.484,392.783,135.774,6.776,1.036,0.414
1.8.5.3,46.781,685.729,7.268,0,0,0,0
5.1.3.13,1.694,0.749,5.321,0,0.698,0,0
2.7.1.69,44.512,8.737,2.038,0.231,0.019,0.097,1.367
3.6.3.39,52.409,750.895,82.981,0.077,17.875,0,4.04
2.7.1.39,0.172,0.033,0.158,0,0,0,0
4.3.1.15,37.448,0.017,2.989,0,0,0,0
2.3.1.n2,6.146,0.083,6.792,0,0,0,0
2.6.1.34,0.057,0.05,0.045,0,0,0,0
6.3.5.2,4.537,2.663,498.79,0.058,0,0.13,0.559
2.7.7.27,4.509,14.611,2.672,0,0.019,0,0.041
3.4.21.88,0.23,2.962,3.125,0,0,0,0
6.3.5.3,7.007,6.623,21.872,0,0,0.032,0.145
2.2.1.7,2.556,2.213,18.702,0,0,0.874,0
3.4.21.107,17.92,31.002,5.026,0.019,0.094,0,0.062
2.7.7.19,0.086,0.05,0.543,0,0,0,0
2.7.4.22,65.562,12.015,7.675,0.019,1.34,0,0
3.4.21.116,0.488,0.216,16.528,0,0,0,0.062
2.3.1.179,227.471,2.513,13.517,0.385,0,0,0.041
4.2.3.1,1.235,6.74,18.385,0,0.019,0,0.145
2.1.1.265,0.029,9.286,0.113,0,0,0,0
2.5.1.68,2.987,2.28,0.34,0,0,0,0
5.1.1.7,1.292,0.033,0.838,0,0,0,0
1.1.1.133,0.316,0.366,1.109,0.154,0,0,0.021
3.6.1.19,0.574,182.669,4.347,0,0,0,0
5.1.1.20,12.148,0.166,6.294,0,0,0,0
5.3.1.9,28.804,32.2,89.818,0.096,0.038,0.097,0.104
2.6.1.81,2.269,0.017,8.558,0,0,0,0
3.1.26.3,56.889,0.1,3.079,0.019,0.038,0,0
2.7.14.1,39.802,2.912,3.011,0,0,0,0.021
2.7.1.180,0.086,0.732,1.608,0,0,0,0
2.4.2.3,0.201,0.033,1.223,0,0,0,0
2.5.1.101,8.386,0.2,0.136,0,0,0,0.083
1.1.1.22,0.632,1.315,4.392,0,0,0,0.021
3.1.1.61,6.289,3.262,10.664,0.038,0,0.032,0
3.1.3.5,1.321,0.05,4.46,0,0,0,0
4.2.1.46,3.59,7.988,22.143,0,0.887,0,0.186
1.1.1.42,1.436,0.05,0.045,0,0.038,0,0
2.4.2.4,0.057,0.033,0.226,0,0,0,0
4.1.99.1,0.517,27.341,1.472,0,0,0,0
3.1.3.11,11.659,0.033,32.219,0,0,0,0
5.1.1.3,34.116,25.078,25.336,0.5,1.869,0,0.062
3.6.1.3,5.887,43.25,21.804,0.577,0,0,0.041
4.3.2.1,2.786,481.593,34.936,0,0.774,0,0
4.1.1.61,2.498,0.017,40.845,0,0,0,0
2.6.1.85,0.402,0.383,1.472,0.115,0,0,0
