name	taxonomy_id	taxonomy_lvl	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
Helicobacter cholecystus	45498	S	16	0.00000	283	0.00003	209	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Lysobacter sp. CW239	2762611	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	264	0.00004	0	0.00000	0	0.00000
Maribacter sp. 1_2014MBL_MicDiv	1644130	S	317	0.00008	0	0.00000	52	0.00001	0	0.00000	126	0.00002	0	0.00000	0	0.00000
Synechococcus sp. Minos11	221341	S	0	0.00000	0	0.00000	18	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Fibrella aestuarina	651143	S	69	0.00002	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bombilactobacillus bombi	1303590	S	0	0.00000	0	0.00000	42	0.00001	0	0.00000	16	0.00000	0	0.00000	0	0.00000
Streptococcus lutetiensis	150055	S	217	0.00005	0	0.00000	85	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Helicobacter felis	214	S	0	0.00000	0	0.00000	30	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenibacillus sp. CAA11	1532905	S	408	0.00010	12	0.00000	2160	0.00062	0	0.00000	869	0.00013	0	0.00000	293	0.00006
Haemophilus haemolyticus	726	S	178	0.00004	0	0.00000	21	0.00001	0	0.00000	0	0.00000	0	0.00000	23	0.00000
Chlamydia avium	1457141	S	24	0.00001	0	0.00000	74	0.00002	0	0.00000	0	0.00000	25	0.00015	0	0.00000
Serratia grimesii	82995	S	0	0.00000	11	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000
Muricauda sp. 501str8	2698672	S	57	0.00001	0	0.00000	156	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Lactiplantibacillus paraplantarum	60520	S	0	0.00000	0	0.00000	15	0.00000	0	0.00000	751	0.00011	0	0.00000	0	0.00000
Bacillus sp. OxB-1	98228	S	69	0.00002	0	0.00000	505	0.00015	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenibacillus sp. FSL H7-0737	1536775	S	15	0.00000	9811	0.00101	455	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sorangium cellulosum	56	S	21	0.00001	13	0.00000	203	0.00006	47	0.00001	69	0.00001	0	0.00000	25	0.00000
Rickettsia endosymbiont of Ixodes scapularis	444612	S	214	0.00005	0	0.00000	132	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Carboxydocella thermautotrophica	178899	S	804	0.00019	65	0.00001	2785	0.00080	0	0.00000	525	0.00008	0	0.00000	0	0.00000
Treponema denticola	158	S	2397	0.00058	0	0.00000	1416	0.00041	0	0.00000	2430	0.00036	0	0.00000	0	0.00000
Halomonas sp. N3-2A	2014541	S	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermoactinomyces vulgaris	2026	S	93	0.00002	54	0.00001	44	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Shewanella sp. M2	2487742	S	0	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000	16	0.00010	26140	0.00498
Flavobacterium sp. M31R6	2739062	S	1139	0.00028	0	0.00000	164	0.00005	134	0.00003	0	0.00000	0	0.00000	1182	0.00023
Massilia oculi	945844	S	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Eggerthella sp. HF-1101	2690837	S	0	0.00000	0	0.00000	250	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Actinomadura sp. NAK00032	2742128	S	11	0.00000	0	0.00000	33	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rubinisphaera brasiliensis	119	S	30	0.00001	0	0.00000	75	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Geobacter pickeringii	345632	S	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Vibrio alfacsensis	1074311	S	0	0.00000	0	0.00000	313	0.00009	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Planococcus versutus	1302659	S	0	0.00000	80	0.00001	161	0.00005	0	0.00000	0	0.00000	0	0.00000	34	0.00001
Paenibacillus sabinae	365617	S	17	0.00000	34	0.00000	2436	0.00070	0	0.00000	0	0.00000	0	0.00000	150	0.00003
Mycobacterium kansasii	1768	S	1843	0.00045	0	0.00000	28	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Mycobacterium shinjukuense	398694	S	0	0.00000	0	0.00000	265	0.00008	0	0.00000	38	0.00001	0	0.00000	113	0.00002
Agarivorans gilvus	680279	S	199	0.00005	0	0.00000	129	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Francisella persica	954	S	18	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Levilactobacillus zymae	267363	S	0	0.00000	0	0.00000	21	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Candidatus Filomicrobium marinum	1608628	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000
Turicibacter sanguinis	154288	S	628	0.00015	0	0.00000	181	0.00005	0	0.00000	378	0.00006	0	0.00000	78	0.00001
Campylobacter blaseri	2042961	S	18	0.00000	0	0.00000	240	0.00007	0	0.00000	11	0.00000	0	0.00000	1168	0.00022
Paenibacillus terrae	159743	S	169	0.00004	16	0.00000	34	0.00001	22	0.00000	0	0.00000	0	0.00000	0	0.00000
Gloeocapsa sp. PCC 7428	1173026	S	19	0.00000	0	0.00000	181	0.00005	26	0.00001	572	0.00009	0	0.00000	2735	0.00052
Lactobacillus virus Semele	2734052	S	0	0.00000	0	0.00000	29	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Staphylococcus virus SscM1	2734053	S	0	0.00000	0	0.00000	198	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Chryseobacterium gleum	250	S	251	0.00006	0	0.00000	75	0.00002	0	0.00000	15	0.00000	0	0.00000	0	0.00000
Mesoplasma florum	2151	S	159	0.00004	0	0.00000	291	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Nostoc linckia	92942	S	231	0.00006	0	0.00000	501	0.00014	0	0.00000	42	0.00001	0	0.00000	21	0.00000
Cedecea neteri	158822	S	67	0.00002	0	0.00000	52	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Mucilaginibacter sp. 14171R-50	2703789	S	27	0.00001	0	0.00000	23	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Caulobacter segnis	88688	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000
Exiguobacterium sibiricum	332410	S	0	0.00000	0	0.00000	192	0.00006	0	0.00000	0	0.00000	127	0.00078	0	0.00000
Thiomicrospira aerophila	92245	S	62	0.00002	0	0.00000	20	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Clostridium sp. BNL1100	755731	S	2213	0.00054	80	0.00001	4894	0.00141	17	0.00000	885	0.00013	91	0.00056	462	0.00009
Chitinimonas arctica	2594795	S	0	0.00000	0	0.00000	46	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
