"OTUs"	"N2"	"N3"	"N4"	"E1"	"E3"	"E4"	"E5"
1	16	283	209	0	0	0	0
2	0	0	0	0	264	0	0
3	317	0	52	0	126	0	0
4	0	0	18	0	0	0	0
5	69	0	17	0	0	0	0
6	0	0	42	0	16	0	0
7	217	0	85	0	0	0	0
8	0	0	30	0	0	0	0
9	408	12	2160	0	869	0	293
10	178	0	21	0	0	0	23
11	24	0	74	0	0	25	0
12	0	11	0	10	0	0	0
13	57	0	156	0	0	0	0
14	0	0	15	0	751	0	0
15	69	0	505	0	0	0	0
16	15	9811	455	0	0	0	0
17	21	13	203	47	69	0	25
18	214	0	132	0	0	0	0
19	804	65	2785	0	525	0	0
20	2397	0	1416	0	2430	0	0
21	0	0	10	0	0	0	0
22	93	54	44	0	0	0	0
23	0	0	17	0	0	16	26140
24	1139	0	164	134	0	0	1182
25	17	0	0	0	0	0	0
26	0	0	250	0	0	0	0
27	11	0	33	0	0	0	0
28	30	0	75	0	0	0	0
29	0	0	14	0	0	0	0
30	0	0	313	0	0	0	0
31	0	80	161	0	0	0	34
32	17	34	2436	0	0	0	150
33	1843	0	28	0	0	0	0
34	0	0	265	0	38	0	113
35	199	0	129	0	0	0	0
36	18	0	0	0	0	0	0
37	0	0	21	0	0	0	0
38	0	0	0	0	13	0	0
39	628	0	181	0	378	0	78
40	18	0	240	0	11	0	1168
41	169	16	34	22	0	0	0
42	19	0	181	26	572	0	2735
43	0	0	29	0	0	0	0
44	0	0	198	0	0	0	0
45	251	0	75	0	15	0	0
46	159	0	291	0	0	0	0
47	231	0	501	0	42	0	21
48	67	0	52	0	0	0	0
49	27	0	23	0	0	0	0
50	0	0	0	0	14	0	0
51	0	0	192	0	0	127	0
52	62	0	20	0	0	0	0
53	2213	80	4894	17	885	91	462
54	0	0	46	0	0	0	0
55	0	10	0	0	0	0	0
56	17	0	53	0	0	0	0
57	884	0	206	0	0	0	0
58	68	0	0	0	60	0	0
59	0	0	21	0	39	0	0
60	0	0	57	0	0	0	0
61	0	0	22	0	20	0	0
62	0	0	17	0	10	0	0
63	0	0	17	0	0	0	0
64	348	0	137	0	647	0	44
65	0	0	0	0	578	0	12
66	692	0	0	0	0	0	0
67	0	11	16	0	35	0	0
68	0	0	151	0	0	0	0
69	0	0	25	0	0	0	0
70	525	0	0	0	0	0	93
71	378	8083	176	102	0	0	0
72	404	0	53	0	0	0	129
73	0	0	21	16	0	0	0
74	0	0	0	0	0	105	0
75	173	61	1173	0	80	510	3320
76	0	193	23	0	0	0	0
77	152	0	156	0	0	0	0
78	136	0	128	0	0	0	0
79	330	837	1957	0	95	104	11
80	0	0	0	0	0	0	28
81	22	20	0	0	0	0	0
