lineage	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
r_Root;k_Bacteria;p_Proteobacteria;c_Delta/Epsilon_Subdivisions;o_Epsilonproteobacteria;f_Campylobacterales;g_Helicobacteraceae;s_Helicobacter	16	0.00000	283	0.00003	209	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Lysobacter;s_Unclassified_Lysobacter	0	0.00000	0	0.00000	0	0.00000	0	0.00000	264	0.00004	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Flavobacteriia;g_Flavobacteriales;s_Flavobacteriaceae	317	0.00008	0	0.00000	52	0.00001	0	0.00000	126	0.00002	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Cyanobacteria/Melainabacteria_Group;o_Cyanobacteria;f_Synechococcales;g_Synechococcaceae;s_Synechococcus	0	0.00000	0	0.00000	18	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Cytophagia;g_Cytophagales;s_Cytophagaceae	69	0.00002	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Lactobacillales;g_Lactobacillaceae;s_Bombilactobacillus	0	0.00000	0	0.00000	42	0.00001	0	0.00000	16	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Lactobacillales;g_Streptococcaceae;s_Streptococcus	217	0.00005	0	0.00000	85	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Delta/Epsilon_Subdivisions;o_Epsilonproteobacteria;f_Campylobacterales;g_Helicobacteraceae;s_Helicobacter	0	0.00000	0	0.00000	30	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Paenibacillaceae;s_Paenibacillus	408	0.00010	12	0.00000	2160	0.00062	0	0.00000	869	0.00013	0	0.00000	293	0.00006
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pasteurellales;f_Pasteurellaceae;g_Haemophilus;s_Haemophilus_Haemolyticus	178	0.00004	0	0.00000	21	0.00001	0	0.00000	0	0.00000	0	0.00000	23	0.00000
r_Root;k_Bacteria;p_Pvc_Group;c_Chlamydiae;o_Chlamydiia;f_Chlamydiales;g_Chlamydiaceae;s_Chlamydia/Chlamydophila_Group	24	0.00001	0	0.00000	74	0.00002	0	0.00000	0	0.00000	25	0.00015	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Yersiniaceae;g_Serratia;s_Serratia_Grimesii	0	0.00000	11	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Flavobacteriia;g_Flavobacteriales;s_Flavobacteriaceae	57	0.00001	0	0.00000	156	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Lactobacillales;g_Lactobacillaceae;s_Lactiplantibacillus	0	0.00000	0	0.00000	15	0.00000	0	0.00000	751	0.00011	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Bacillaceae;s_Bacillus	69	0.00002	0	0.00000	505	0.00015	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Paenibacillaceae;s_Paenibacillus	15	0.00000	9811	0.00101	455	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Delta/Epsilon_Subdivisions;o_Deltaproteobacteria;f_Myxococcales;g_Sorangiineae;s_Polyangiaceae	21	0.00001	13	0.00000	203	0.00006	47	0.00001	69	0.00001	0	0.00000	25	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales;f_Rickettsiaceae;g_Rickettsieae;s_Rickettsia	214	0.00005	0	0.00000	132	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Clostridia;f_Clostridiales;g_Clostridiales_Incertae_Sedis;s_Clostridiales_Family_Xvi._Incertae_Sedis	804	0.00019	65	0.00001	2785	0.00080	0	0.00000	525	0.00008	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Spirochaetales;f_Spirochaetaceae;g_Treponema;s_Treponema_Denticola	2397	0.00058	0	0.00000	1416	0.00041	0	0.00000	2430	0.00036	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Oceanospirillales;f_Halomonadaceae;g_Halomonas;s_Unclassified_Halomonas	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Thermoactinomycetaceae;s_Thermoactinomyces	93	0.00002	54	0.00001	44	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Shewanellaceae;g_Shewanella;s_Unclassified_Shewanella	0	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000	16	0.00010	26140	0.00498
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Flavobacteriia;g_Flavobacteriales;s_Flavobacteriaceae	1139	0.00028	0	0.00000	164	0.00005	134	0.00003	0	0.00000	0	0.00000	1182	0.00023
r_Root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Oxalobacteraceae;g_Massilia;s_Massilia_Oculi	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Actinobacteria;o_Coriobacteriia;f_Eggerthellales;g_Eggerthellaceae;s_Eggerthella	0	0.00000	0	0.00000	250	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000
